Title,Location,Price,Area
Apartment Van Tuyll van Serooskerkenweg,            1076 JD Amsterdam (Stadionbuurt)        ,"                €1,850 per month            ",65 m²
Apartment Lumeijstraat 11 4,            1056 VS Amsterdam (Geuzenbuurt)        ,"                €2,350 per month            ",76 m²
Apartment Lumeijstraat 11 3,            1056 VS Amsterdam (Geuzenbuurt)        ,"                €1,995 per month            ",76 m²
Apartment Saenredamstraat 49 1,            1072 CC Amsterdam (Oude Pijp)        ,"                €1,750 per month            ",50 m²
Apartment Utrechtsedwarsstraat,            1017 WH Amsterdam (De Weteringschans)        ,"                €1,600 per month            ",55 m²
Apartment Rhijnvis Feithstraat,            1054 VA Amsterdam (Overtoomse Sluis)        ,"                €1,950 per month            ",73 m²
Apartment Johannes Verhulststraat,            1071 NE Amsterdam (Museumkwartier)        ,"                €2,350 per month            ",70 m²
Apartment Jan Evertsenstraat 89 1,            1057 BS Amsterdam (Hoofdweg e.o.)        ,"                €1,650 per month            ",100 m²
Apartment Vinkenstraat,            1013 JV Amsterdam (Haarlemmerbuurt)        ,"                €1,900 per month            ",70 m²
Apartment Schinkelkade,            1075 VM Amsterdam (Schinkelbuurt)        ,"                €1,147 per month            ",72 m²
Apartment Allard Piersonstraat,            1053 ZX Amsterdam (Da Costabuurt)        ,"                €2,350 per month            ",90 m²
Apartment Tweede Jan Steenstraat 51,            1074 CK Amsterdam (Oude Pijp)        ,"                €2,750 per month            ",96 m²
Apartment Bickerswerf 41,            1013 KV Amsterdam (Haarlemmerbuurt)        ,"                €2,675 per month            ",111 m²
Apartment Beethovenstraat 153 IV,            1077 JD Amsterdam (Prinses Irenebuurt e.o.)        ,"                €2,700 per month            ",112 m²
Apartment Kerkstraat 253 C,            1017 GW Amsterdam (Grachtengordel-Zuid)        ,"                €2,500 per month            ",121 m²
Apartment Rijnstraat,            1078 PW Amsterdam (IJselbuurt)        ,"                €1,600 per month            ",63 m²
Apartment Tweede Jan Steenstraat 110 I,            1074 CT Amsterdam (Oude Pijp)        ,"                €2,250 per month            ",72 m²
Apartment Okeghemstraat,            1075 PK Amsterdam (Willemspark)        ,"                €4,000 per month            ",135 m²
Apartment Vaartstraat 62 A,            1075 RR Amsterdam (Schinkelbuurt)        ,"                €2,300 per month            ",65 m²
Apartment Faas Wilkesstraat 405,            1095 MD Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €2,250 per month            ",85 m²
Apartment Gaandeweg,"            1103 SG Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,750 per month            ",90 m²
Apartment Leidsekade 102 A,            1017 PP Amsterdam (De Weteringschans)        ,"                €4,950 per month            ",153 m²
Apartment Bestevâerstraat,            1055 TN Amsterdam (Landlust)        ,"                €1,700 per month            ",54 m²
Apartment Westerdoksdijk 313,            1013 AD Amsterdam (Haarlemmerbuurt)        ,"                €2,500 per month            ",85 m²
House Kuipersstraat 147 A6,            1073 ER Amsterdam (Nieuwe Pijp)        ,"                €1,850 per month            ",55 m²
Apartment Belgiëplein,            1066 RC Amsterdam (Sloter-/Riekerpolder)        ,"                €1,750 per month            ",69 m²
Apartment Loenermark 118,            1025 SL Amsterdam (Buikslotermeer)        ,"                €1,850 per month            ",80 m²
Apartment Van Boshuizenstraat,            1082 AP Amsterdam (Buitenveldert-Oost)        ,"                €1,500 per month            ",43 m²
Apartment Bilderdijkkade,            1052 RV Amsterdam (Kinkerbuurt)        ,"                €2,350 per month            ",75 m²
Apartment Kerkstraat 417 B,            1017 HX Amsterdam (Grachtengordel-Zuid)        ,"                €2,250 per month            ",68 m²
